,0,1,2,3
0,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf8jpira4iij9ir,國內第一家！國光武肺疫苗獲准人體試驗2020-08-18,2020-08-18,"
國產武漢肺炎（新型冠狀病毒病，COVID-19）疫苗傳出新進展，國光生技成為國內第一家取得人體臨床試驗門票的業者。中央流行疫情指揮中心指揮官陳時中表示，國內未來若開打疫苗，除了醫護、防疫、長照機構人員優先施打外，要出國的民眾也擬須接種。
衛福部食藥署昨日宣布，8月16日召開疫苗臨床試驗審查專家會議，審查國光生技候選疫苗「AdimrSC-2f vaccine（COVID-19 S蛋白片段）」的第一期臨床試驗計畫，決議有條件核准其執行。
食藥署科長張連成說，國光生技可先展開受試者篩選作業，待補齊安全性數據且經該署確認，就可施打；預計將在台大醫院收案六十餘人，受試者須經篩選、健康受試者為主，參與者預計將獲付費補償。
據了解，高端疫苗、聯亞生技也已提出人體試驗申請，但尚在討論或補件階段。
對於國產疫苗進度，陳時中昨受訪指出，若是要今年底緊急授權使用，可能有機會但不高，並坦言台灣研發腳步稍慢，估計國產疫苗約明年第二季以後可施打。
高風險行業族群優先接種
至於取得疫苗後，如何分配接種？陳時中表示，要達到群體免疫力，國人接種率須上看六成。疫苗將鎖定高風險行業族群優先開打，像是醫護、防疫、長照機構人員等需要接觸患者或傳染機會較高者；至於年紀大或重病的人，因為接觸人少，防線做好就好，最怕還是趴趴走的人。整體來說，要視取得數量和疫苗的有效性來評估。
出國民眾也將要求施打
另外，入境台灣的人，會希望他們在來台前就完成接種，而從我國出境者，也會要求接種。
另一方面，馬來西亞傳出檢測到一種新冠病毒的病毒株，被命名為D614G。馬來西亞衛生部總監諾希山指出，這款突變病毒株號稱傳播速度比一般病毒株快上十倍，可能導致目前的疫苗研究無法發揮作用，該國已有四例D614G變異病毒株。
馬國發現突變病毒株 傳播快10倍
D614G是新冠病毒第六一四位氨基酸由天冬氨酸（Ｄ）變成了甘氨酸（Ｇ），據報已是歐洲和美國病例的主要變種。但世衛組織指出，暫時沒有證據顯示該病毒株會導致更嚴重的病例。刊於《細胞出版社》（Cell Press）期刊的論文也指，D614G突變並未使刺突蛋白出現重大變化，預料不會對研發中的疫苗功效產生重大打擊。
專家：馬國過度解讀 疫苗仍有效
我國指揮中心發言人莊人祥指，研究結論並未指D614G傳染率暴增十倍以上。國內專家認為恐是馬來西亞衛生部過度解讀，目前實驗疫苗對於病毒仍有效。
(自由時報 記者林惠琴、編譯陳成良) "
1,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6q3bvczm2o5sh&PageNO=1,藥明巨諾籌3億美元赴港IPO申請上市2020-08-17,2020-08-17,"
面對美國不斷向香港施壓，總統川普更表示香港國際金融中心地位將「跌落地獄」，但無礙熱門的生科股排隊來港上市。上周五藥明生物旗下再有公司分拆上市，中國臨床階段細胞治療平台公司藥明巨諾，已向港交所遞交上市申請，早前有傳集資額最多3億美元。
藥明巨諾為未有收入的生物科技公司，今年上半年記錄虧損6.5億元人民幣，按年多虧81.6%，經營虧損達1.58億人民幣，大增97.6%，主要是研發開支增加所致。
該公司由藥明康德與美國朱諾治療於2016年成立。
信誠證券副總裁何智威表示，雖然藥明巨諾未有業績支持，但以兩股股價上市後均有亮麗表現，相信亦提高投資者的信心。他又相信同系的藥物生物以黑馬姿態染藍(指某上市公司的股份被恆指服務公司納入藍籌股<恆生指數成份股>)，相信對短期股價也有幫助。
另外，啟動A+H股上市計畫的螞蟻集團有望最快12月於上交所科創板上市。中國證監會日前的備案文件顯示，螞蟻集團正接受上市輔導，有內媒引述投行人士指，一般上市輔導規定要三個月，但大型項目「有溝通餘地」，若能於兩個月內完成上市輔導，螞蟻集團最快可在12月正式於科創板掛牌。目前聯交所仍未上載螞蟻集團的上市文件。
據該備案文件指出，螞蟻集團控股股東為杭州君瀚和杭州君澳，合共持有50.52%股權，另外持股5%以上股東亦有阿里巴巴旗下的杭州阿里巴巴，而螞蟻實際控制人為創辦人馬雲。
致富證券董事及證券業務主管郭家安相信，螞蟻應會分開A及H股上市步伐，即有機會如市傳計畫九月在港上市，主要由於下半年美國大選、疫情等不明朗因素會影響投資氣氛，故盡快上市掃除憂慮更好。他又指出，新股市場與大市唇齒雙依，因此相信九月投資氣氛會轉好，「無論保薦人定大戶，都會托住大市，新股市場都相對偏好。」
(香港經濟日報) "
2,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6przbi4yij59n&PageNO=1,防止急性腎損傷後持續惡化 台大醫院找到關鍵解方2020-08-17,2020-08-17,"
台灣大學醫學院附設醫院14日發表最新研究成果，指只要對急性腎損傷患者及時給予「去甲基化藥物」，就可以控制細胞並避免讓器官出現纖維化，一旦如此，更可以阻斷腎臟持續惡化的進展。相關研究成果已在8月4日獲刊在國際知名期刊(「The Journal of Clinical Investigation」)，也深獲專家肯定。
台大醫院14日表示，急性腎損傷患者就算治療恢復，經8年追蹤後發現，還是有超過8成患者會惡化成慢性腎臟病或末期腎臟病，其原因在於，急性腎損傷後，有些細胞基因會「甲基化」，而「甲基化」會使血管周細胞，在腎功能恢復後，持續保有讓腎臟結疤萎縮以及喪失穩定微血管的記憶。
台大醫院金山分院腎臟內科醫師周鈺翔進一步表示，他們在動物試驗上發現，只要及時給予「去甲基化藥物」 ，確實可以阻斷「甲基化」作用，避免器官往惡化方向發展。他說：『(原音)去甲基化就是讓細胞內的基因不要被甲基化，就是說，如果在急性腎損傷之後，就用藥物投與，可以阻止它甲基化的情形，就不會有後面纖維化的情形。』
不過，周鈺翔也說，相關「去甲基化藥物」雖然過去多被用在治療血液癌症，但如果要用在人體的腎臟治療，還是需要更多臨床試驗。
儘管發現關鍵解方，但周鈺翔還是提醒，已經有許多大型研究證實，濫用長效型止痛藥不僅會增加腎臟負擔，更會有急性腎損傷的機會。他說：『(原音)年紀比較大的老人家，尤其是65歲以上，還有糖尿病，其他還包含高血壓、慢性心衰竭或長期使用止痛藥的病人，這些都是容易形成慢性腎臟病的候選人。』
台大醫院表示，學界普遍認為，目前並沒有任何治療方式，可以阻止急性腎損傷後的惡化進程，而這項研究一改認知，不僅獲刊在國際知名期刊(「The Journal of Clinical Investigation」)，也深獲專家肯定。
(中央廣播電臺) "
3,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6p73z9gqxp4lk&PageNO=1,德生技公司CureVac美股掛牌首日飆漲近250％2020-08-17,2020-08-17,"
看好新冠疫苗商機可期，獲得比爾蓋茲與思愛普(SAP)創辦人霍普(Dietmar Hopp)鉅資挹注的德國生技新創公司CureVac，14日在美掛牌首日股價狂飆250％。
CureVac股價14日收55.9美元，是IPO價的逾三倍。該業者IPO發行價在每股14美元到16美元區間，透過釋出1,333萬股，籌資2億1,330萬美元。
CureVac執行長哈斯（Franz-Werner Haas）稱公司目前約有10億歐元現金，用來研發新冠肺炎疫苗並擴大疫苗產能來滿足全球需要。他對公司研發的疫苗極有信心。
儘管CureVac迄今尚未獲利，但去年營收年增35％至約2,060萬美元，尤其強勁研發能力與新疫苗可望成金雞母，加上大股東的政經背景實力雄厚，讓人不敢輕忽這家在2000年才成立的新創公司。　蓋茲基金在2015年曾對CureVac投資4千萬美元，德國軟體巨擘SAP共同創辦人賀普（Dietmar Hopp）持有近半股權，德國政府6月投資約3.43億美元取得23％股權，大藥商葛蘭素史克（GSK）也是大股東之一。
此外美國電動車製造大廠特斯拉也為CureVac建造分子印表機，協助後者進行疫苗開發作業。
CureVac近期已獲得德國和比利時的政府批准，讓其研發的其中一款疫苗開始進行臨床實驗。預計疫苗明年中上市，目前正跟多國政府談判潛在疫苗採購協議。
現今CureVac正跟Moderna、Novavax、BioNTech和輝瑞等競爭，要搶先研發出能成功上市的疫苗。先前有媒體報導，正在大舉採購疫苗的川普政府，過去曾把目標鎖定該新創業者，希望說服CureVac科學家能前往美國協助開發疫苗，不過這項說法卻已遭到CureVac否認。　
儘管如此執行長哈斯也補充，並不排除跟美國加強合作研發的可能性。
(工商時報 記者鍾志恆) "
4,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6p3i30764j864&PageNO=1,何大一新冠抗體藥 擬授權台灣2020-08-17,2020-08-17,"
新冠病毒疫情重創全球經濟，至今已有逾二千萬人確診，在全球紛紛尋求解方中，愛滋病毒權威何大一領軍的研發團隊，已從五名住院的重症感染者中取得很多單株抗體，並找出9個最有效、最可以直接對抗病毒的抗體，該研究報告已於7/22刊登於權威的《自然》（Nature）學術期刊。
何大一表示，該9個抗體能在非常低的濃度下，得以中和病毒，且具高親和結合能力和多樣性優勢，若用來預防感染，只需一劑，就能維持三到六個月，目前已規劃10月起針對預防和治療二大領域展開人體臨床測試，該抗體藥物將向美國FDA申請緊急使用授權（EUA），預計明年夏天可望上市。
何大一開發的9個新冠抗體藥物，已有4、5家重磅級大藥廠洽談授權中，其中一個將授權台灣，助推台灣成為抗新冠世界隊。以下是他的專訪紀要：
問：何以會投入新冠病毒藥物開發？
答：沒有公共健康、就不會有經濟健康。過去30年，愛滋病毒殺死了3,500萬人，但新冠疫情僅七個月就感染超過2, 000萬人，且已有76萬人死亡，重創全球經濟下，我和團隊從今年2月起，即停止所有進行中的愛滋病研究，轉向新冠病毒。
我們從五名感染者取得252個抗體，從中找到有效的61個抗體，最後找到9個可以直接對抗病毒並具有最高療效的抗體，目前正積極準備進入臨床。
問：這9個抗體的優勢為何？它的開發速度會比疫苗或其他新藥快嗎？
答：這9個抗體能在非常低的濃度下，中和病毒，這些抗體對病毒的抗原棘蛋白具高親和結合能力、高特異性和專一性；目前首先規劃的是用來治療早期確診病患，即時避免病情惡化，並阻絕擴散傳染。
另外，這些抗體也適合以類似疫苗方式，給免疫力較弱的一些慢性疾病患者、及高齡族群提供預防性免疫保護，因為這些人可能較不易由接種疫苗而在自己體內產生足夠的抗體。
目前全球都在和時間賽跑，加速研發疫苗和新藥等療法，但就臨床時程和效性比較，未來六個月，在新藥治療方面，比較有機會的是抗體。
問：目前的臨床規劃進度？
答：團隊與一些即將取得授權的藥廠已開始對不同的劑量進行研究，預計10月開始進行一期臨床，收案數約50人，確定安全無虞後，即著手進行二/三期臨床，收案數500人，針對早期感染病患的治療，預計2-3個月即可完成，再向FDA申請EUA，有機會在明年夏天上市治療早期確診病患。另外，該9個抗體藥物也有預防的效果，初步選定是抵抗力較弱的長照中心老人，初步規劃6個月內完成臨床。
問：這9個抗體藥物一定是炙手可熱，有規劃授權嗎？
答：目前確實已有4、5家重磅級藥廠洽談授權，有的藥廠就要了二個，我們會保留一個授權台灣藥廠，主要是台灣市場太小，未來疫苗或新藥上市，台灣可能不易優先得到；因此，我們會有一個藥物授權台灣生產和商化，以台灣目前感染人數並不多，未來也必須將國外患者納入臨床試驗。該藥物除了台灣自用也可前進國際打世界盃，正式成為抗新冠世界隊。
從抗愛滋病到解新冠病毒 何大一再創奇蹟
被認為是華人圈中得獎最多的何大一，原本是準備要退休的科學家，最近卻因開發對抗新冠病毒抗體新藥，讓他再度成為風雲榜人物，並有機會成為全球第一個找到新冠解方的英雄。
從愛滋病雞尾酒療法發明人到開發新冠病毒的抗體新藥，生醫業界認為，何大一可望再創人生志業的奇蹟。
雖然目前投入新冠病毒藥物和疫苗開發的療法不少，但以目前新冠病毒的變異性，何大一認為，距離疫苗或新藥的優化和上市，預計還要花上一年或更久，最大的癥結點在於感染速度，以此次新冠疫情七個月內即有逾二千萬人確診，即可見疫情的嚴峻。
另外，目前瑞德西韋等新藥，原本是用來治療伊波拉、SARS等病毒的藥物，其可以緩解新冠病毒的感染，卻不是真正為了對付此次的COVID-19，因此，何大一領軍的團隊從病患身上找到的抗體，開發的9個抗體藥物，也備受全球關注，其研究報告並刊登於權威的《自然》（Nature）學術期刊。
1952年出生在台中的何大一，曾在1996年打敗前美國總統柯林頓躋身全球風雲人物，他投入愛滋病毒研究逾30年。1995年4月，他發明利用雞尾酒療法，將病毒引到一個角落封鎖起來，讓人體免疫力有恢復的機會。他領軍中裕開發治療愛滋病新藥的TMB-355，更已拿到美、歐藥證上市多年，這也是台灣第一個品牌新藥行銷國際。
基於人道精神，何大一投入的愛滋病研究，也多次獲比爾與梅琳達‧蓋茲基金會補助；這次何大一開發可用於治療和預防的新冠病毒的抗體新藥，比爾蓋茲慈善基金會也將資助落後地區補助預防用疫苗，初步計算的「不盈利」價格一劑50美元，效期三到六個月，突顯何大一的救世精神。
(工商時報 記者杜蕙蓉) "
5,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6ovt0yzjcgp57&PageNO=1,全球製藥代工需求高漲 台CDMO廠及早擴產因應2020-08-17,2020-08-17,"
南韓三星生物製劑 (SAMSUNG BIOLOGICS) 看準未來藥物代工製造需求爆發，將投資 1.74 兆韓元 (約新台幣 471 億元) 建新廠，事實上，台 CDMO(委託研發及生產代工) 廠也看準此趨勢提前擴產因應，包括永昕、台康生、保瑞等，今年起產能均將明顯擴增。
生技產業越來越多新藥開發公司，其中，中小型新藥公司需要工廠協助製藥與代工，大藥廠則頃向將資源放在客製化、大分子、難度較高的藥品，將其他藥品製造委外，降低成本，因此 CDMO 需求逐年成長，據統計，CDMO 去年產值約 900 億美元，預估 2023 年上看 1173 億美元。
以電子業來看，CDMO 如同代工廠，業者提供客戶從臨床試驗、藥物製劑生產到包裝銷售等服務，除新藥開發帶動代工製藥需求外，新冠肺炎疫情也推升此產業更蓬勃發展，韓國三星集團旗下三星生物製劑執行長金泰漢就指出，製藥流程外包是產業正在成長的趨勢，光今年上半年製藥代工訂單營收，比去年全年增加 2.5 倍。
三星生物製劑將在仁川興建第 4 座藥廠，預計投資金額 1.74 兆韓元，新廠完工後，新廠產能約有 25.6 萬公升、總產能達 62 萬公升，預計 2022 年前總產能將比現今提升 7 成。
台廠也看好此趨勢，提前啟動擴產計畫， 永昕過去研發多項用藥產品，多元化領域發展也造成資源不足，因此轉型成 CDMO 公司，打造一站式服務，近期營運有斬獲，陸續接獲國際客戶，其中與韓國主要客戶合作的產品，即將上市。
永昕因應客戶擴大藥品規模建置新廠，將打造兩條哺乳細胞類產線，預計明年底完工、2022 年第 3 季開始投產，明年初步產能約 4000 公升，最高產能上看 1.2 萬公升。
保瑞則已獲日本衛采及美國 AMNEAL 國際藥廠代工訂單，日前更取得英國上市公司 GlaxoSmithKline 葛蘭素史克 (GSK) 加拿大藥廠營運資產，及 5 年藥品代工合約，藉此擴大 CDMO 業務；保瑞也將產能稼動率從 20% 提升至 30%。
台康生目前有汐止及竹北廠，過去總產能約 1 萬升，隨著訂單量提升，也啟動竹北廠擴產計劃，預計廠內 2 條產線將依兩階段建置、共 2.4 萬公升，目前產能已提升至 8000 公升。
(鉅亨網 記者沈筱禎) "
6,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6onmkcp0z6gqx&PageNO=1,新冠肺炎改變就醫行為 上半年門診量降1556萬人次2020-08-17,2020-08-17,"
⊙李伯璋/中央健康保險署 署長
為疏解大型醫院人滿為患，健保署從三年前積極推動「分級醫療」，希望民眾相信「厝邊好醫師，社區好醫院」，我們也大力推動大型醫院結合當地醫療院所組成策略聯盟合作團隊，例如「雁行計畫」、「共好醫療」、「星月計畫」…等，讓大型醫院能專注於收治「急、重、難、罕」等棘手疾病，輕症則由診所及地區醫院接手，如此可讓各層級院所各司其職。
今年碰到「COVID-19」新冠肺炎疫情席捲全球，幸好台灣防疫工作及各項應變措施超前部署且執行到位，在疫情防堵上，可圈可點，尤其在這次防疫工作上，平時較被忽略的「社區藥局」功能也大為彰顯，透過「口罩實名制」配售制度，民眾不必擔心買不到口罩，迅速解除「口罩之亂」，而且由於全台社區藥局全心投入分裝及販賣口罩，讓民眾看到社區藥局的親切及專業，未來若要落實「醫藥分業」，應該是可以期待的。
在衛福部及健保會的政策要求下，107年起健保署開始執行「區域級以上醫院門診件數降低2%」措施，並以5年降低10%為目標值。但今年逢百年大疫，由於許多民眾擔心到院所就醫會有感染風險，以致健保特約醫療院所的看診人次立刻變少了，根據健保署統計，相較於去年同期，今年1到6月整體門診量降幅 8.1%（1556萬人次），其中醫院降7.1％（397萬人次）、診所降10.7%（1056.3萬人次）、牙醫降4.8%（85.1萬人次）、中醫降0.9%（16.9萬人次）。而從健保死亡退保的資料分析，今年1到6月死亡人數86,252人與去年同期87,553人相比，死亡人數減少1.49%，換言之，這段疫情期間民眾減少看病，並沒有造成因為減少就醫而增加死亡的個案。由此觀之，以台灣平均每人每年門診次數高達14、15次之多，其中究竟有多少是真正需要就醫者，確實值得探討。這次疫情正好為台灣的醫療生態呈現出「實驗組」與「對照組」，如果某些人可透過自我保健或調整飲食作息就能恢復健康，我們的第一線的醫師如果能在診間多給予衛教，相信節省下來的醫療資源一定相當可觀。
今年疫情發生後，由於看診人次普遍變少，勢必造成院所資金周轉困難，為了讓醫界能全心全力抗疫，健保署在今年第一季時便比照去年同期核定的暫付款金額給付，協助院所可以正常營運，各醫院診所院長不用為資金調度而煩惱。當時就有另一派說法，第一季看診人次總量減少，看似點值會拉高，但到時候醫界還是會依實際醫療申報予以結算，多出來的錢還是要退給健保，等到第二、三季以後，疫情減緩後預計看診人次會暴衝反撲，點值就會極速下跌，但健保可沒有補貼費用。但這種預測性的說法並沒有表現出來，因為從申報資料顯示，今年第二季4到6月未有暴量現象發生，連最近的七月申報量與去年同期相較，整體門診量仍然下降，降幅8.0%（252萬人次），其中醫院降4.5％（44萬人次）、診所還在大幅下降13.3%（206萬人次）、牙醫降0.2%（0.6萬人次）、中醫降0.4%（1.3萬人次），顯然迄今尚未有出現所謂「報復性暴量」現象。
政策可以規劃，但是不易能有實驗組與對照組的結果做比較，從今年第一、二季的就醫人數大幅減少，當醫療費用點數下降時，健保點值就會上升，以109年4-5月申報點數估計，牙醫、西醫基層及醫院之平均點值皆大於1，今年是觀察民眾就醫狀況和健保點值檢討的好機會。尤其令人欣慰的是，中央流行疫情指揮中心指揮官陳時中不時提醒國人防疫新生活，包括勤戴口罩及保持社交距離，大幅減少疾病傳染的機會，這也是在疫情的威脅下，連國人愛逛醫院的現象減少了，我們更盼望國人就醫行為從此有了正向的改變。
(自由時報) "
7,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6oc7uekap1nzm&PageNO=1,耶魯大學唾液快篩COVID-19 獲美FDA緊急授權2020-08-17,2020-08-17,"
美國食品暨藥物管理局15日緊急授權耶魯大學用唾液篩檢新冠病毒的測試方法，每次約需支付10至20美元（約新台幣295元至588元），而且結果數小時內就會出爐。根據美媒報導，NBA球員參與「唾液快篩」的研發測試。
耶魯大學公共衛生學院研發出名為「唾液快篩」、用口水檢測新冠病毒的篩檢方式，研究由美國職籃NBA及美國國家籃球協會球員工會共同贊助，並且率先針對一組NBA球員及員工進行唾液檢體檢測，受測者同時也接受傳統的鼻腔檢體檢測，也就是新聞中常看見的，醫護人員拿長棉棒深入受試者鼻腔擦拭、取樣的方式，結果顯示，兩種病毒檢測結果幾乎一致，不過研究目前尚未經過同儕審查。
「唾液快篩」適合進行大規模民眾病毒篩檢，每個取樣的成本最低只要4美元（新台幣117元），不過民眾最終支付費用可能會稍微高一點，約10至20美元。民眾只要將口水滴到瓶子裡後，約幾小時內結果就會出爐。
這種唾液檢測方式之所以快又便宜，原因在於研究人員拿掉了傳統上分離病毒中核糖核酸（RNA）的步驟，這是鼻腔黏膜篩檢方式的重要環節，能夠讓檢測結果更明確。
葛魯保指出，耶魯的檢測方式拿掉了分離RNA的步驟，取而代之的是加入試劑，並且透過短暫加熱程序來釋放病毒基因組，研究發現，使用常見的試劑就能有很好的成效，這也代表，任何實驗室都能進行耶魯大學研發的病毒檢測方式。
美國FDA 4月時批准由羅格斯大學臨床基因學實驗室（Rutgers Clinical Genomics Laboratory）開發的另一款唾液篩檢方式，不過每次檢測仍需60至150美元（約新台幣1,764元至4,410元），結果出爐也需要24至48小時。
(中國時報 記者吳映璠) "
8,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf6nya7mrnjl036&PageNO=1,力晶開發新冠解決方案 月底發表2020-08-17,2020-08-17,"
力晶集團本業及業外同時大躍進，在創辦人黃崇仁帶領下，切入新冠肺炎解決方案開發，透過旗下智合精準醫學科技與中研院院士劉昉等專家共同合作，將於8月31日舉行發表會，公開最新進度。
此外，集團旗下最重要轉投資、晶圓代工廠力積電目前產能滿載，並籌劃於今年底上興櫃，力拚明年股票重新上市櫃。
智合精準醫學前身是「智合生醫科學公司」，2015年2月以資本額100萬元成立，2016年更名，實收資本額增資至2.6億元，由黃崇仁擔任董事長，總經理是前生物技術開發中心執行長汪嘉林，專長於靶標治療的劉昉是該公司董事。
據了解，智合精準醫學針對新冠肺炎開發的解決方案，不同於傳統疫苗的預防方式，而是走免疫療法一途。主要考量台灣大環境對發展預防用的疫苗不利，罹患新冠肺炎的病患人數少，抗體不易取得，臨床實驗案例數也難以累積。
黃崇仁曾說，基因定序有助改善人類檢測疾病及身體健康準確度，未來病患就診時將會先檢驗基因定序，而非傳統的血液檢測，才有利於精確投藥治療，這將是人類革命性的改變。
有鑑於基因定序未來可望成為精準醫療的開門之鑰，力晶集團旗下IC設計廠晶相光已與全球基因定序市場龍頭大廠Illumina合作，共同開發新世代基因檢測設備，未來還要與台灣的醫學中心共同研發基因定序檢測。
黃崇仁大學唸物理系，赴美國紐約大學西奈山醫學院取得腦神經外科醫學博士。台美斷交後返台，38歲時放棄教職，先後投入掃描器、半導體等科技產業，曾任台灣半導體產業協會（TSIA）理事長。
力晶2019年5月將三座12吋晶圓廠轉給有二座8吋晶圓廠的子公司鉅晶，並改名力積電；力晶轉型為控股公司。力晶集團規劃，力積電預定今年10月底、11月初登錄興櫃，規劃2021年掛牌上市。
力晶集團創辦人黃崇仁 醫學、半導體雙棲
力晶集團創辦人黃崇仁擁有醫學博士學位，原本在醫學院任教，職涯卻在中年時大轉彎，在半導體產業打下一片天，之後又因景氣波動而摔了一跤。
如今，力積電走出前身力晶深陷記憶體景氣循環的泥淖，在晶圓代工領域找到新藍海，準備重新掛牌之餘，黃崇仁難忘情學醫的初心，近年投入精準醫療開發，並展開跨領域合縱連橫的能力，要為台灣智慧與精準醫療發展貢獻心力。
黃崇仁曾說，對於癌症的個人化治療，就是屬於精準醫學的應用之一。他並以乳癌為例，乳癌細胞外觀上長的都很像，但實際上卻是異質細胞，因而將乳癌區分不同次群組（subgroups），以利找出正確的治療方式。
若能透過次世代基因定序（NGS），確認病患乳癌特殊性，並找出符合特定病患個人化的治療方式，就可獲得更好的治療癒後效果。在半導體技術介入與進步下，次世代基因定序成本愈來愈下降，也更能針對個人特定疾病發生機率提供預測、預防與治療方式。
2016年黃崇仁還發起成立「台灣物聯網產業技術協會」，宗旨為針對物聯網技術發展，結合台灣半導體關鍵零組件及其中下游軟硬體裝置、應用服務商、物聯網平台等業者，與全球暨中國大陸各界合作，制定產業標準並推廣於兩岸和國際市場。
該協會並設有智慧及精準醫療、半導體、車聯網、智慧工業、智慧安全及人工智慧及大數據等六個專業委員會。
(經濟日報 記者李珣瑛) "
9,https://ibmi.taiwan-healthcare.org/news_detail.php?REFDOCTYPID=0o4dd9ctwhtyumw0&REFDOCID=0qf152vt5v7j4qr2&PageNO=1,川普藥價政策觸動醫療產業改革2020-08-14,2020-08-14,"
美國總統川普（Donald Trump）近期簽署行政命令，以降低處方藥售價，造成近期生醫類股股價稍見波動。不過，法人指出，藥價議題帶給醫療產業改革契機，提供結合數位科技與醫療技術的精準醫療，更大的發展空間，相關的創新醫療類股未來有機會先蹲後跳。
川普在7月下旬簽署4道行政命令，包括：允許從加拿大等國進口較便宜的處方藥物、要求醫藥公司把減免的藥價直接回饋給病患、降低胰島素成本、要求聯邦醫療保險購買的藥品價格必須與其他國家價格一致，以降低藥價，減輕民眾負擔。
藥價議題觸動醫療產業改革
受到藥價政策影響，生醫類股近期走勢稍見波動，NBI生技類股指數從7月24日至今，累計下跌3.35％，而代表精準醫療產業的ETFx健康科技指數僅小跌0.42％。
第一金全球AI精準醫療基金經理人常李奕翰表示，自川普上任以來，即多次推動調降藥價的政策，但精準醫療幾乎不受影響，相關企業股價仍越走越高，主要是因為藥價議題觸動醫療產業改革，讓各藥廠、生技公司擁抱數位科技，以提高醫療服務成效與品質，維繫生存空間。
目前美國醫院正積極推動「醫療效益指標」，以血栓藥物為例，若患者在服用後12個月，不再發生急性心臟病，醫療將付給藥廠較高的價格；反之，給付價格將會降低。
新藥價政策上路將帶給精準醫療更大的空間
2017年起，多家國際大藥廠即逐漸採用醫療效益指標，根據普華永道（PwC）調查結果，去年，全球已有57％生技製藥公司跟進，相較2017年成長一倍。
常李奕翰表示，藥廠提高療效的方式，不僅僅是讓患者單純服用藥物，而是結合數位治療App或穿戴裝置，隨時掌握病患的療程與健康狀況，以調整服藥方式，進而加快康復速度，這正是精準醫療的核心概念。
(風傳媒) "
