,InfoId,TYWebsite,Name,Toldescribe,Add,Zipcode,Opentime,Px,Py,Website,Parkinginfo,Remarks,Tel,Fax,Changetime
0,15,travel.tycg.gov.tw/zh-tw/Consume/Detail/15,桃園名點酥禮盒,第一屆桃園十大伴手禮以最能代表臺灣之鳳梨酥為主角，輔以國際知名法式塔類點心烘焙技法，製成台法點心頂級工藝。外酥內軟的層次感，入口即化，流瀉出濃郁的香醇口感，是點心中的上品。,330 桃園市桃園區民安路140號,330,09：00~21：00,121.30004,24.99493,,路邊停車,,886-3-3355135,886-3-3322101,2017/08/23 16:45:34
1,16,travel.tycg.gov.tw/zh-tw/Consume/Detail/16,佳樂蛋糕,以波士頓派聞名美食界，並且讓網友大力推薦的佳樂蛋糕，鬆軟、甜而不膩的幸福口感，一直是桃園人的最愛，不論當下午茶點心還是生日蛋糕，都讓人面子裡子十足。建議遊客必點原味或巧克力口味的波士頓派，絕對令人意猶未盡。,330 桃園市桃園區民生路124號,330,星期日: 08:00 – 22:00；星期一: 08:00 – 22:00；星期二: 08:00 – 22:00；星期三: 08:00 – 22:00；星期四: 08:00 – 22:00；星期五: 08:00 – 22:00；星期六: 08:00 – 22:00,121.31392,24.99234,http://www.cakeking.com.tw/front/bin/home.phtml,路邊停車,,886-3-3335339,886-3-3322101,2018/12/14 15:20:55
2,17,travel.tycg.gov.tw/zh-tw/Consume/Detail/17,Garlic大蒜麵包,大蒜麵包買8個送1個！每個售價30元！有外送服務唷！,330 桃園市桃園區建新街23巷2號,330,週一至週六：13：00~20：00 (週日公休),121.31321,24.98488,,路邊停車,,886-3-3710889,886-3-3322101,2017/08/15 13:12:12
3,18,travel.tycg.gov.tw/zh-tw/Consume/Detail/18,正記中崎本舖,第一屆桃園十大伴手禮-布丁蛋糕禮盒第二屆、第三屆桃園十大伴手禮-中崎布丁蛋糕逛完景福宮大廟，遊客們絕不會錯過廟後正記中崎本舖的中崎布丁蛋糕。道地傳統奶油式的蛋糕作法，細嫩香軟的精湛口味，是當地人生日蛋糕與下午茶的最佳選擇之一。馳名全台布丁蛋糕，歷年來榮獲無數食品評競金牌獎。口味獨特、用料實在、奶香濃郁、綿密細緻，獨一無二的口味廣受大眾喜愛，遠近馳名。,330 桃園市桃園區中正路219號,330,星期日: 06:00 – 22:30；星期一: 06:00 – 22:30；星期二: 06:00 – 22:30；星期三: 06:00 – 22:30；星期四: 06:00 – 22:30；星期五: 06:00 – 22:30；星期六: 06:00 – 22:30,121.31033,24.99551,http://www.nakasaki.com.tw/,,,886-3-3370880,886-3-3352233,2018/07/16 13:59:35
4,19,travel.tycg.gov.tw/zh-tw/Consume/Detail/19,郭祿食品有限公司,第一屆桃園十大伴手禮：郭祿月靜禮盒桃園老字號的伴手禮名店，以香Q又不黏牙的牛軋糖聞名全國，搭配香酥綿密口感的鳳梨酥與蛋黃酥，三項特色名點組成的月靜禮盒，不但吃出老師傅珍藏手藝的美味，送禮更是體面。第二屆桃園十大伴手禮：郭祿台灣情牛軋糖禮盒牛軋糖不黏牙充滿咬勁的本土特選香脆花生，鳳梨酥嚴選上等原料加上手工製造皮酥餡軟，甜而不膩，芝麻本身就有很多對身體有益的元素，選用上等芝麻加上特製麥芽，打開後芝麻香讓人想要一口接一口，軟硬適中。此外本禮盒獲得綠色環保認證，符合現代人環保觀念，送禮得體又大方。第三屆桃園十大伴手禮：溫馨禮盒第五屆桃園十大伴手禮：土地公禮盒,330 桃園市桃園區中山路252號,330,星期日: 07:30 – 21:00；星期一: 07:30 – 21:00；星期二: 07:30 – 21:00；星期三: 07:30 – 21:00；星期四: 07:30 – 21:00；星期五: 07:30 – 21:00；星期六: 07:30 – 21:00,121.30679,24.99295,http://www.kuolu.com.tw,有特約停車場,,886-3-3385156,886-3-3322101,2018/02/13 17:15:43
5,22,travel.tycg.gov.tw/zh-tw/Consume/Detail/22,微風地中海棕櫚咖啡,十分美觀的庭園設計，是許多情侶們到此一遊的浪漫取景地點，渾圓拱門的古樸風格，還有令人回味再三的特色餐飲，加上夜晚璀璨的迷人光影，最適合在此享用美食、談天說地。,330 桃園市桃園區三民路112號,330,11：30~00：00,121.30558,24.99407,,路邊停車格,,886-3-3197770,886-3-3322101,2018/03/15 11:52:34
6,23,travel.tycg.gov.tw/zh-tw/Consume/Detail/23,郭祿月靜禮盒,第一屆桃園十大伴手禮桃園老字號的伴手禮名店，以香Q又不黏牙的牛軋糖聞名全國，搭配香酥綿密口感的鳳梨酥與蛋黃酥，三項特色名點組成的月靜禮盒，不但吃出老師傅珍藏手藝的美味，送禮更是體面。,330 桃園市桃園區中山路252號,330,週一到週五：7：30~22：00、週六日：7：30~21：00,121.30675,24.99279,http://www.kuolu.com.tw/product_view.php?kind2=13,斜對面麥當勞下有停車場,,886-3-3385156,886-3-3322101,2017/08/23 16:15:50
7,24,travel.tycg.gov.tw/zh-tw/Consume/Detail/24,郭記名點,榮獲桃園市十大伴手禮，以四十年的老到功力聞名，老闆郭先進夫妻和赴日鑽研的兒子郭雨函，用專業經營和精湛的烘培技術，將號稱名點三寶的牛軋糖、名點酥、銅鑼燒，提升烘培質感境界，帶出了小點的品味美學，不僅名點酥、牛軋糖令人讚不絕口，全新口味的銅鑼燒更是賣得強強滾，不但縣內佔有一席之地，一直以來更是從國家大門桃園出發，受歐美日各地外國顧客的青睞，得獎無數，是代表在地精神之頂尖技藝產品。 第一屆桃園十大伴手禮：桃園鳳梨酥禮盒以最能代表臺灣之鳳梨酥為主角，輔以國際知名法式塔類點心烘焙技法，製成台法點心頂級工藝。外酥內軟的層次感，入口即化，流瀉出濃郁的香醇口感，是點心中的上品。第二屆桃園十大伴手禮2009桃園市十大伴手禮：生銅鑼燒內餡採用日本近年流行的洋菓子銅鑼燒餡料製作方式，外皮更下了很大的功夫，採用位於上野公園，近代銅鑼燒始祖名店うさぎ屋(usagiya)的柔軟外皮方式，更配合洋菓子內餡而將外皮製做得更蓬鬆綿密。所研發的生銅鑼燒，不但在口味上更勝一籌，至今在市場上地位仍屹立不搖，更持續成長，目前宅配市場發達，本產品深具獨創性與美感，發展潛力無窮。推出生銅鑼燒以來，不但廣受顧客喜愛，更獲各大媒體青睞。不但地方性有線電視台，更獲得民視、客家.....等全國知名電視台與三大報的專題採訪。第五屆桃園十大伴手禮風阻尼波士頓派,330 桃園市桃園區民安路140號,330,星期日: 09:00 – 21:00；星期一: 09:00 – 21:00；星期二: 09:00 – 21:00；星期三: 09:00 – 21:00；星期四: 09:00 – 21:00；星期五: 09:00 – 21:00；星期六: 09:00 – 21:00,121.30004,24.99494,,,,886-3-3355135,886-3-3322101,2020/08/23 12:02:19
8,25,travel.tycg.gov.tw/zh-tw/Consume/Detail/25,代官山新美食主義餐廳,擁有十分優雅的用餐環境，烤牛小排及韓式石鍋拌飯夠味又好吃，特別是石鍋拌飯因為有十分道地的韓國泡菜及梅花燒肉為材料，是饕客們的必點美味。,330 桃園市桃園區中央街29、31號,330,11：00~21：00,121.31735,24.99593,,,,886-3-3357803,886-3-3322101,2015/01/05 10:09:24
9,27,travel.tycg.gov.tw/zh-tw/Consume/Detail/27,西班牙高第咖啡館,一家很特別的人文咖啡館，最有名的是地中海風餐飲，供餐到晚上十一點，義大利麵或者西班牙特色套餐，都有大廚獨特的用心。,330 桃園市桃園區中正路985號,330,平日11：00~22：00、週五六11：00~23：00,121.29951,25.01357,,,,886-3-3550123,886-3-3322101,2018/03/15 11:53:05
10,29,travel.tycg.gov.tw/zh-tw/Consume/Detail/29,遇見  無國界料理,桃園區小巷弄的一家美食店，如果不小心還會走過頭，到此用餐可以到二樓坐坐，氣氛很不錯。無國界的料理菜色相當多，排餐、套餐、義大利麵都有擁護者。,330 桃園市桃園區中正路1115巷1號,330,無,121.29773,25.01710,,,,886-3-3469155,886-3-3322101,2015/01/05 10:12:10
11,30,travel.tycg.gov.tw/zh-tw/Consume/Detail/30,安佐法國廚房,桃園最具特色的法國美食料理專家，主廚畢業於法國巴黎藍帶餐飲學院，在這兒可以吃到道地的法國美味，國內少見的法式料理、排餐等，用簡單的烹調方式就能做最完美精緻的表現。,330 桃園市桃園區國際路501巷二段3-5號,330,平日11：30~14：30、17：30~22：00,121.28613,25.00426,,附有特約停車場(約200格停車格),,886-3-2150091,886-3-3322101,2018/03/14 14:15:45
12,31,travel.tycg.gov.tw/zh-tw/Consume/Detail/31,樹屋異國料理,利用庭園原生樹所搭建的露天餐坊，讓每一位來賓都能感受到悠閒的慢調氣氛。主廚料理了一手義、法、紐、澳、泰、新疆等世界各地的風味好菜，展現各國巧妙的美食原味。,330 桃園市桃園區中山東路100號,330,營業時間11：00~22：00、供餐時間11：00~21：00、午茶14：00~17：00,121.31806,24.99688,,,,886-3-3330086,886-3-3322101,2018/03/15 11:53:29
13,32,travel.tycg.gov.tw/zh-tw/Consume/Detail/32,鮮王鍋物料理,以日本高級料理食材鱈場蟹為主角的「鮮王」，店內優雅的用餐環境，以及廚師上等的料理功夫，讓名流仕紳都喜歡來此嚐鮮。令人垂涎的生魚片，魚缸內隨流瀑游走的新鮮漁獲，都是老闆自行到海港挑選。搭配一壺清酒，就是人間美味。,330 桃園市桃園區新埔七街126號,330,無,121.30103,25.02076,,,,886-3-3322101,886-3-3322101,2016/07/21 16:20:26
14,33,travel.tycg.gov.tw/zh-tw/Consume/Detail/33,伊太郎日式拉麵,2012金牌好店推薦菜色：豚骨拉麵師傅不但在麵食上很用心，連湯頭入口都能令人彈舌直說棒。主要的菜色，有奇香無比的蓋飯、定食和各式香Q的日式拉麵。傳丞自日本九州久留米市的拉麵高湯－回籠湯，純豚骨熬成的濃白高湯搭配彈牙日式拉麵，必定讓您回味無窮！,330 桃園市桃園區南平路387號,330,星期日: 11:00 – 21:15；星期一: 11:00 – 14:00；星期一: 17:00 – 21:15；星期二: 休息；星期三: 11:00 – 14:00；星期三: 17:00 – 21:15；星期四: 11:00 – 14:00；星期四: 17:00 – 21:15；星期五: 11:00 – 14:00；星期五: 17:00 – 21:15；星期六: 11:00 – 21:15,121.29717,25.01762,,店內無停車場，路邊有停車格鄰近也有停車場,,886-3-3561946,886-3-3322101,2019/04/24 13:15:08
15,34,travel.tycg.gov.tw/zh-tw/Consume/Detail/34,老賊壽司,老賊壽司的店面不大，只賣壽司、味噌湯和蒸蛋，但壽司的口味多達一、二十種老少咸宜，因裡面座位不多，當地桃園人喜歡打包帶回家，十分方便。,330 桃園市桃園區中正路328號,330,星期日: 06:00 – 20:00；星期一: 休息；星期二: 06:00 – 20:00；星期三: 06:00 – 20:00；星期四: 06:00 – 20:00；星期五: 06:00 – 20:00；星期六: 06:00 – 20:00,121.30923,24.99795,,路邊停車格,,886-3-3360935,886-3-3322101,2020/08/23 12:02:39
16,35,travel.tycg.gov.tw/zh-tw/Consume/Detail/35,江秀日本料理,2/24聯繫，店家表示已結束營業,330 桃園市桃園區莊敬路一段328號,330,11：30~14：00、17：00~21：10  (大節日公休),121.29667,25.02420,,,,886-3-3171111,886-3-3322101,2018/03/15 11:53:45
